ID    | TIMESTAMP               | LEVEL    | (UID:)HOST:PORT           | MESSAGE
61    | 2021-08-08 02:06:41,455 | DEBUG    | 10.144.32.11:22           | read : b'\n\nInterface                  IP-Address      OK? Method Status                Protocol\nGigabitEthernet0/0         10.144.32.11    YES NVRAM  up                    up      \nGigabitEthernet0/1         unassigned      YES NVRAM  administratively down down    \nGigabitEthernet0/2         unassigned      YES NVRAM  administratively down down    \nGigabitEthernet0/3         unassigned      YES NVRAM  administratively down down    \nRTR01#Interface                  IP-Address      OK? Method Status                Protocol\nGigabitEthernet0/0         10.144.32.12    YES NVRAM  up                    up      \nGigabitEthernet0/1         unassigned      YES NVRAM  administratively down down    \nGigabitEthernet0/2         unassigned      YES NVRAM  administratively down down    \nGigabitEthernet0/3         unassigned      YES NVRAM  administratively down down    \nRTR02#'
62    | 2021-08-08 02:06:41,459 | INFO     | 10.144.32.12:22           | closing connection to '10.144.32.12' on port '22'
63    | 2021-08-08 02:06:41,459 | INFO     | 10.144.32.11:22           | closing connection to '10.144.32.11' on port '22'
64    | 2021-08-08 02:06:41,459 | DEBUG    | 10.144.32.12:22           | write: '\n'
65    | 2021-08-08 02:06:41,460 | DEBUG    | 10.144.32.11:22           | write: '\n'
66    | 2021-08-08 02:06:41,463 | DEBUG    | 10.144.32.11:22           | read : b'\nRTR01#\n'
67    | 2021-08-08 02:06:41,464 | INFO     | 10.144.32.11:22           | attempting to acquire 'privilege_exec' privilege level
68    | 2021-08-08 02:06:41,464 | DEBUG    | 10.144.32.11:22           | determined current privilege level is target privilege level, no action needed
69    | 2021-08-08 02:06:41,464 | DEBUG    | 10.144.32.11:22           | write: 'exit'
70    | 2021-08-08 02:06:41,464 | DEBUG    | 10.144.32.11:22           | write: '\n'
71    | 2021-08-08 02:06:41,465 | DEBUG    | 10.144.32.11:22           | closing transport connection to '10.144.32.11' on port '22'
72    | 2021-08-08 02:06:41,465 | DEBUG    | 10.144.32.12:22           | read : b'RTR02#'
73    | 2021-08-08 02:06:41,466 | INFO     | 10.144.32.12:22           | attempting to acquire 'privilege_exec' privilege level
74    | 2021-08-08 02:06:41,466 | DEBUG    | 10.144.32.12:22           | determined current privilege level is target privilege level, no action needed
75    | 2021-08-08 02:06:41,466 | DEBUG    | 10.144.32.12:22           | write: 'exit'
76    | 2021-08-08 02:06:41,466 | DEBUG    | 10.144.32.12:22           | write: '\n'
77    | 2021-08-08 02:06:41,466 | DEBUG    | 10.144.32.12:22           | closing transport connection to '10.144.32.12' on port '22'
78    | 2021-08-08 02:06:41,469 | DEBUG    | 10.144.32.11:22           | closing socket connection to '10.144.32.11' on port '22'
79    | 2021-08-08 02:06:41,470 | DEBUG    | 10.144.32.11:22           | closed socket connection to '10.144.32.11' on port '22' successfully
80    | 2021-08-08 02:06:41,470 | DEBUG    | 10.144.32.11:22           | transport connection to '10.144.32.11' on port '22' closed successfully
81    | 2021-08-08 02:06:41,470 | INFO     | 10.144.32.11:22           | connection to '10.144.32.11' on port '22' closed successfully
82    | 2021-08-08 02:06:41,470 | DEBUG    | 10.144.32.12:22           | closing socket connection to '10.144.32.12' on port '22'
83    | 2021-08-08 02:06:41,470 | DEBUG    | 10.144.32.12:22           | closed socket connection to '10.144.32.12' on port '22' successfully
84    | 2021-08-08 02:06:41,470 | DEBUG    | 10.144.32.12:22           | transport connection to '10.144.32.12' on port '22' closed successfully
85    | 2021-08-08 02:06:41,470 | INFO     | 10.144.32.12:22           | connection to '10.144.32.12' on port '22' closed successfully
